127.0.0.1 - - [29/Aug/2022:14:45:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/ HTTP/1.1" 200 29360
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/download2.do?imageFileName=%EC%9E%90%EC%A1%B4%EA%B0%90%20%EC%88%98%EC%97%85.jpg&category=selfDevelopment2 HTTP/1.1" 200 4653
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/download2.do?imageFileName=%ED%8F%B4%EB%A6%AC%EC%8A%A4.jpg&category=novel3 HTTP/1.1" 200 139049
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/download2.do?imageFileName=%EC%A7%80%EA%B5%AC%EC%97%90%EC%84%9C%20%ED%95%9C%EC%95%84%EB%BF%90.jpg&category=novel1 HTTP/1.1" 200 165207
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/download2.do?imageFileName=%EC%B6%94%EB%A6%AC%20%EC%B2%9C%EC%9E%AC%20%EC%97%89%EB%8D%A9%EC%9D%B4%20%ED%83%90%EC%A0%95%208.jpg&category=children1 HTTP/1.1" 200 208407
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/download2.do?imageFileName=%ED%8F%B4%EB%A5%B8.jpg&category=novel3 HTTP/1.1" 200 247445
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/download2.do?imageFileName=%EB%8B%B9%EC%8B%A0%EC%9D%98%20%EA%B3%84%EC%A0%88%EC%9D%84%20%EA%B1%B8%EC%96%B4%EC%9A%94.jpg&category=poem3 HTTP/1.1" 200 224396
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:13 +0900] "GET /geniebook/images/ico/favicon.ico HTTP/1.1" 404 511
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/searchProductbyTitle?searchType=%2Fgeniebook%2FsearchProductbyTitle&searchWord=%EC%9E%91%EC%9D%80%EC%95%84%EC%94%A8%EB%93%A4&search=%EA%B2%80+%EC%83%89 HTTP/1.1" 200 50134
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%EB%AA%A8%EB%B9%84%EB%94%95.jpg HTTP/1.1" 200 120863
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=12%EA%B0%80%EC%A7%80%20%EC%9D%B8%EC%83%9D%EC%9D%98%20%EB%B2%95%EC%B9%99.jpg HTTP/1.1" 200 47606
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%ED%8F%B4%EB%A6%AC%EC%8A%A4.jpg HTTP/1.1" 200 139049
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%EB%B0%94%EB%B0%94%EB%9D%BC%20%EB%AF%BC%ED%86%A0%20%EB%85%BC%EB%A6%AC%EC%9D%98%20%EA%B8%B0%EC%88%A0.jpg HTTP/1.1" 200 144403
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%EC%84%A4%EB%AF%BC%EC%84%9D%EC%9D%98%20%EC%A1%B0%EC%84%A0%EC%99%95%EC%A1%B0%EC%8B%A4%EB%A1%9D.jpg HTTP/1.1" 200 75719
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%EC%B2%A0%ED%95%99%EC%9D%80%20%EC%96%B4%EB%96%BB%EA%B2%8C%20%EC%82%B6%EC%9D%98%20%EB%AC%B4%EA%B8%B0%EA%B0%80%20%EB%90%98%EB%8A%94%EA%B0%80.jpg HTTP/1.1" 200 133737
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%EC%9E%91%EC%9D%80%20%EC%95%84%EC%94%A8%EB%93%A4.jpg HTTP/1.1" 200 24144
0:0:0:0:0:0:0:1 - - [29/Aug/2022:14:45:24 +0900] "GET /geniebook/download2.do?imageFileName=%EB%A7%90%20%EA%B7%B8%EB%A6%87.jpg HTTP/1.1" 200 44705
